Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-E2-A1B4-01	8	13	17	4
TCGA-E2-A1B5-01	23	0	21	2
TCGA-E2-A1B6-01	1	32	10	13
TCGA-E2-A1BC-01	1	19	9	12
TCGA-E2-A1BD-01	0	11	29	3
TCGA-E2-A1IE-01	0	14	11	5
TCGA-E2-A1IF-01	0	9	6	9
TCGA-E2-A1IG-01	8	14	35	0
TCGA-E2-A1IH-01	37	18	10	20
TCGA-E2-A1II-01	0	16	9	9
TCGA-E2-A1IJ-01	0	5	8	5
TCGA-E2-A1IK-01	1	4	10	2
TCGA-E2-A1IL-01	0	12	16	3
TCGA-E2-A1IN-01	191	23	7	27
TCGA-E2-A1IO-01	0	0	15	1
TCGA-E2-A1IU-01	7	8	16	0
TCGA-E2-A1L6-01	2	8	15	3
TCGA-E2-A1L7-01	4	54	11	12
TCGA-E2-A1L8-01	6	12	10	10
TCGA-E2-A1L9-01	2	8	12	6
TCGA-E2-A1LA-01	10	64	5	28
TCGA-E2-A1LB-01	28	10	12	5
TCGA-E2-A1LG-01	176	24	9	10
TCGA-E2-A1LH-01	61	134	3	33
TCGA-E2-A1LI-01	12	19	3	3
TCGA-E2-A1LK-01	0	0	42	12
TCGA-E2-A1LL-01	4	31	10	16
TCGA-E2-A2P6-01	125	0	61	0
TCGA-E2-A56Z-01	0	16	25	19
TCGA-E2-A570-01	0	11	18	1
TCGA-E2-A572-01	2	5	12	10
TCGA-E2-A573-01	5	31	14	22
TCGA-E2-A574-01	66	30	60	0
TCGA-E2-A576-01	0	21	41	8
TCGA-E2-A9RU-01	17	9	66	15
TCGA-E9-A1N3-01	3	16	1	11
TCGA-E9-A1N4-01	11	5	16	2
